Site	Loc1	Loc2	P.Value	SE	switches
ElkLake-30	Bwf-1	Cisco-17	0.211350	0.026386	1706
ElkLake-30	Bwf-2	Cisco-17	0.397250	0.029255	2999
ElkLake-30	C2-157	Cisco-17	0.009670	0.007638	1838
ElkLake-30	Cocl23	Cisco-17	0.102500	0.023324	1312
ElkLake-30	Cisco-59	Cisco-17	0.318070	0.042049	704
ElkLake-30	Cisco-90	Cisco-17	0.912720	0.010992	5231
ElkLake-30	Cisco-12	Cisco-17	0.716300	0.013358	8795
ElkLake-30	Cisco-18	Cisco-17	No	information
ElkLake-30	Cisco-20	Cisco-17	0.451430	0.044311	665
ElkLake-30	Cisco-18	Cisco-17	0.061190	0.018909	1473
ElkLake-30	Sfo8-Low	Cisco-10	0.571460	0.044184	721
ElkLake-30	Sfo8-Upp	Cisco-10	1.000000	0.000000	358
ElkLake-30	Bwf-1	Cisco-10	1.000000	0.000000	1062
ElkLake-30	Bwf-2	Cisco-10	1.000000	0.000000	1626
ElkLake-30	C2-157	Cisco-10	0.231440	0.033468	913
ElkLake-30	Cocl23	Cisco-10	1.000000	0.000000	759
ElkLake-30	Cisco-59	Cisco-10	1.000000	0.000000	308
ElkLake-30	Cisco-90	Cisco-10	0.519750	0.029439	3564
ElkLake-30	Cisco-12	Cisco-10	0.510340	0.019744	6986
ElkLake-30	Cisco-18	Cisco-10	No	information
ElkLake-30	Cisco-20	Cisco-10	1.000000	0.000000	276
ElkLake-30	Cisco-18	Cisco-10	0.664560	0.040805	834
ElkLake-30	Cisco-17	Cisco-10	1.000000	0.000000	589
GlenLake-30	Sfo8-Low	Sfo8-Upp	0.759580	0.036497	963
GlenLake-30	Sfo8-Low	Bwf-1	0.507750	0.034388	2209
GlenLake-30	Sfo8-Upp	Bwf-1	0.470570	0.038646	1418
GlenLake-30	Sfo8-Low	Bwf-2	0.782880	0.023617	3212
GlenLake-30	Sfo8-Upp	Bwf-2	0.094610	0.019537	2261
GlenLake-30	Bwf-1	Bwf-2	0.538450	0.025902	4281
GlenLake-30	Sfo8-Low	C2-157	0.096600	0.021130	2023
GlenLake-30	Sfo8-Upp	C2-157	0.577490	0.037953	1259
GlenLake-30	Bwf-1	C2-157	0.088520	0.016801	2626
GlenLake-30	Bwf-2	C2-157	0.964000	0.008153	3373
GlenLake-30	Sfo8-Low	Cocl23	0.633510	0.039374	1363
GlenLake-30	Sfo8-Upp	Cocl23	0.064060	0.022841	793
GlenLake-30	Bwf-1	Cocl23	0.988670	0.005283	2335
GlenLake-30	Bwf-2	Cocl23	0.487430	0.030612	2941
GlenLake-30	C2-157	Cocl23	0.570590	0.032950	1651
GlenLake-30	Sfo8-Low	Cisco-59	0.996910	0.002238	1334
GlenLake-30	Sfo8-Upp	Cisco-59	1.000000	0.000000	776
GlenLake-30	Bwf-1	Cisco-59	0.347960	0.034579	1936
GlenLake-30	Bwf-2	Cisco-59	0.306460	0.029290	2755
GlenLake-30	C2-157	Cisco-59	0.644450	0.034133	1567
GlenLake-30	Cocl23	Cisco-59	1.000000	0.000000	1197
GlenLake-30	Sfo8-Low	Cisco-90	0.444720	0.017561	8222
GlenLake-30	Sfo8-Upp	Cisco-90	0.412370	0.022508	6407
GlenLake-30	Bwf-1	Cisco-90	0.007450	0.002913	9359
GlenLake-30	Bwf-2	Cisco-90	0.322690	0.013509	11553
GlenLake-30	C2-157	Cisco-90	0.695910	0.014750	8580
GlenLake-30	Cocl23	Cisco-90	0.100290	0.010533	7812
GlenLake-30	Cisco-59	Cisco-90	0.251200	0.018744	7110
GlenLake-30	Sfo8-Low	Cisco-12	0.893060	0.014078	4061
GlenLake-30	Sfo8-Upp	Cisco-12	0.860820	0.018850	3029
GlenLake-30	Bwf-1	Cisco-12	0.998240	0.000921	4981
GlenLake-30	Bwf-2	Cisco-12	0.652670	0.018536	5799
GlenLake-30	C2-157	Cisco-12	0.565140	0.024211	4314
GlenLake-30	Cocl23	Cisco-12	0.588880	0.023215	3731
GlenLake-30	Cisco-59	Cisco-12	0.023820	0.006721	3479
GlenLake-30	Cisco-90	Cisco-12	0.930070	0.004450	12601
GlenLake-30	Sfo8-Low	Cisco-18	No	information
GlenLake-30	Sfo8-Upp	Cisco-18	No	information
GlenLake-30	Bwf-1	Cisco-18	No	information
GlenLake-30	Bwf-2	Cisco-18	No	information
GlenLake-30	C2-157	Cisco-18	No	information
GlenLake-30	Cocl23	Cisco-18	No	information
GlenLake-30	Cisco-59	Cisco-18	No	information
GlenLake-30	Cisco-90	Cisco-18	No	information
GlenLake-30	Cisco-12	Cisco-18	No	information
GlenLake-30	Sfo8-Low	Cisco-20	1.000000	0.000000	662
GlenLake-30	Sfo8-Upp	Cisco-20	1.000000	0.000000	373
GlenLake-30	Bwf-1	Cisco-20	1.000000	0.000000	1192
GlenLake-30	Bwf-2	Cisco-20	1.000000	0.000000	1750
GlenLake-30	C2-157	Cisco-20	1.000000	0.000000	904
GlenLake-30	Cocl23	Cisco-20	1.000000	0.000000	567
GlenLake-30	Cisco-59	Cisco-20	1.000000	0.000000	536
GlenLake-30	Cisco-90	Cisco-20	1.000000	0.000000	5643
GlenLake-30	Cisco-12	Cisco-20	0.551400	0.033055	2704
GlenLake-30	Cisco-18	Cisco-20	No	information
GlenLake-30	Sfo8-Low	Cisco-18	0.805750	0.034822	894
GlenLake-30	Sfo8-Upp	Cisco-18	0.054080	0.021669	469
GlenLake-30	Bwf-1	Cisco-18	0.254900	0.033788	1421
GlenLake-30	Bwf-2	Cisco-18	0.819160	0.024072	1995
GlenLake-30	C2-157	Cisco-18	0.120190	0.028885	1103
GlenLake-30	Cocl23	Cisco-18	0.623530	0.044502	704
GlenLake-30	Cisco-59	Cisco-18	0.018110	0.012136	755
GlenLake-30	Cisco-90	Cisco-18	0.218250	0.019297	6280
GlenLake-30	Cisco-12	Cisco-18	0.146460	0.024700	2895
GlenLake-30	Cisco-18	Cisco-18	No	information
GlenLake-30	Cisco-20	Cisco-18	1.000000	0.000000	303
GlenLake-30	Sfo8-Low	Cisco-17	0.785460	0.031227	1488
GlenLake-30	Sfo8-Upp	Cisco-17	0.667040	0.040278	883
GlenLake-30	Bwf-1	Cisco-17	0.859910	0.022867	2167
GlenLake-30	Bwf-2	Cisco-17	0.133670	0.019298	2979
GlenLake-30	C2-157	Cisco-17	0.042780	0.011125	1765
GlenLake-30	Cocl23	Cisco-17	0.520920	0.040100	1229
GlenLake-30	Cisco-59	Cisco-17	0.913130	0.016025	1245
GlenLake-30	Cisco-90	Cisco-17	0.636990	0.017575	7882
GlenLake-30	Cisco-12	Cisco-17	0.959470	0.006685	3844
GlenLake-30	Cisco-18	Cisco-17	No	information
GlenLake-30	Cisco-20	Cisco-17	1.000000	0.000000	587
GlenLake-30	Cisco-18	Cisco-17	1.000000	0.000000	775
GlenLake-30	Sfo8-Low	Cisco-10	0.186400	0.033926	684
GlenLake-30	Sfo8-Upp	Cisco-10	1.000000	0.000000	366
GlenLake-30	Bwf-1	Cisco-10	0.284530	0.038006	1242
GlenLake-30	Bwf-2	Cisco-10	0.296580	0.036335	1821
GlenLake-30	C2-157	Cisco-10	0.477420	0.044814	905
GlenLake-30	Cocl23	Cisco-10	1.000000	0.000000	523
GlenLake-30	Cisco-59	Cisco-10	0.357920	0.042347	583
GlenLake-30	Cisco-90	Cisco-10	0.801650	0.019329	5396
GlenLake-30	Cisco-12	Cisco-10	0.918870	0.013646	2699
GlenLake-30	Cisco-18	Cisco-10	No	information
GlenLake-30	Cisco-20	Cisco-10	1.000000	0.000000	225
GlenLake-30	Cisco-18	Cisco-10	0.237330	0.041027	299
GlenLake-30	Cisco-17	Cisco-10	0.133020	0.032287	660
GreenLake-26	Sfo8-Low	Sfo8-Upp	0.983270	0.003654	5402
